provider,file,sheet,programa,data_exibicao,numero_programa,exibicao_tipo,categoria_programa,titulo_musica,autor,interprete,tipo_sincronizacao,percentual_editora,valor_editora_brl,editora,gravadora,iswc,isrc,amount_cents,amount_int
Canal Brasil,Relatorio_CanalBrasil_Jan24.xlsx,CanalBrasil_Janeiro24,,,,,,CANAL: BRASIL,,,CANAL: BRASIL,,,,,,,0,0
Canal Brasil,Relatorio_CanalBrasil_Jan24.xlsx,CanalBrasil_Janeiro24,,,,,,PROGRAMA: DIVERSOS,,,PROGRAMA: DIVERSOS,,,,,,,0,0
Canal Brasil,Relatorio_CanalBrasil_Jan24.xlsx,CanalBrasil_Janeiro24,,,,,,PERÍODO: 01/01/2024 A 31/01/2024,,,PERÍODO: 01/01/2024 A 31/01/2024,,,,,,,0,0
Canal Brasil,Relatorio_CanalBrasil_Jan24.xlsx,CanalBrasil_Janeiro24,,,,,,Mídia,,,Mídia,,,,,,,0,0
Canal Brasil,Relatorio_CanalBrasil_Jan24.xlsx,CanalBrasil_Janeiro24,,,,,,Tv Fechada,,,Tv Fechada,,,,,,,0,0
Canal Brasil,Relatorio_CanalBrasil_Jan24.xlsx,CanalBrasil_Janeiro24,,,,,,Tv Fechada,,,Tv Fechada,,,,,,,0,0
Canal Brasil,Relatorio_CanalBrasil_Jan24.xlsx,CanalBrasil_Janeiro24,,,,,,Tv Fechada,,,Tv Fechada,,,,,,,0,0
Canal Brasil,Relatorio_CanalBrasil_Jan24.xlsx,CanalBrasil_Janeiro24,,,,,,Tv Fechada,,,Tv Fechada,,,,,,,0,0
Canal Brasil,Relatorio_CanalBrasil_Jan24.xlsx,CanalBrasil_Janeiro24,,,,,,Tv Fechada,,,Tv Fechada,,,,,,,0,0
Canal Brasil,Relatorio_CanalBrasil_Jan24.xlsx,CanalBrasil_Janeiro24,,,,,,Tv Fechada,,,Tv Fechada,,,,,,,0,0
Canal Brasil,Relatorio_CanalBrasil_Jan24.xlsx,CanalBrasil_Janeiro24,,,,,,Tv Fechada,,,Tv Fechada,,,,,,,0,0
Canal Brasil,Relatorio_CanalBrasil_Jan24.xlsx,CanalBrasil_Janeiro24,,,,,,Tv Fechada,,,Tv Fechada,,,,,,,0,0
Canal Brasil,Relatorio_CanalBrasil_Jan24.xlsx,CanalBrasil_Janeiro24,,,,,,Tv Fechada,,,Tv Fechada,,,,,,,0,0
Canal Brasil,Relatorio_CanalBrasil_Jan24.xlsx,CanalBrasil_Janeiro24,,,,,,Tv Fechada,,,Tv Fechada,,,,,,,0,0
Canal Brasil,Relatorio_CanalBrasil_Jan24.xlsx,CanalBrasil_Janeiro24,,,,,,Tv Fechada,,,Tv Fechada,,,,,,,0,0
Canal Brasil,Relatorio_CanalBrasil_Jan24.xlsx,CanalBrasil_Janeiro24,,,,,,Tv Fechada,,,Tv Fechada,,,,,,,0,0
Canal Brasil,Relatorio_CanalBrasil_Jan24.xlsx,CanalBrasil_Janeiro24,,,,,,Tv Fechada,,,Tv Fechada,,,,,,,0,0
Canal Brasil,Relatorio_CanalBrasil_Jan24.xlsx,CanalBrasil_Janeiro24,,,,,,Tv Fechada,,,Tv Fechada,,,,,,,0,0
Canal Brasil,Relatorio_CanalBrasil_Jan24.xlsx,CanalBrasil_Janeiro24,,,,,,Tv Fechada,,,Tv Fechada,,,,,,,0,0
Canal Brasil,Relatorio_CanalBrasil_Jan24.xlsx,CanalBrasil_Janeiro24,,,,,,Tv Fechada,,,Tv Fechada,,,,,,,0,0
Canal Brasil,Relatorio_CanalBrasil_Jan24.xlsx,CanalBrasil_Janeiro24,,,,,,Tv Fechada,,,Tv Fechada,,,,,,,0,0
Canal Brasil,Relatorio_CanalBrasil_Jan24.xlsx,CanalBrasil_Janeiro24,,,,,,Tv Fechada,,,Tv Fechada,,,,,,,0,0
Canal Brasil,Relatorio_CanalBrasil_Jan24.xlsx,CanalBrasil_Janeiro24,,,,,,Tv Fechada,,,Tv Fechada,,,,,,,0,0
Canal Brasil,Relatorio_CanalBrasil_Jan24.xlsx,CanalBrasil_Janeiro24,,,,,,Tv Fechada,,,Tv Fechada,,,,,,,0,0
Canal Brasil,Relatorio_CanalBrasil_Jan24.xlsx,CanalBrasil_Janeiro24,,,,,,Tv Fechada,,,Tv Fechada,,,,,,,0,0
Canal Brasil,Relatorio_CanalBrasil_Jan24.xlsx,CanalBrasil_Janeiro24,,,,,,Tv Fechada,,,Tv Fechada,,,,,,,0,0
Canal Brasil,Relatorio_CanalBrasil_Jan24.xlsx,CanalBrasil_Janeiro24,,,,,,Tv Fechada,,,Tv Fechada,,,,,,,0,0
Canal Brasil,Relatorio_CanalBrasil_Jan24.xlsx,CanalBrasil_Janeiro24,,,,,,Tv Fechada,,,Tv Fechada,,,,,,,0,0
Canal Brasil,Relatorio_CanalBrasil_Jan24.xlsx,CanalBrasil_Janeiro24,,,,,,Tv Fechada,,,Tv Fechada,,,,,,,0,0
Canal Brasil,Relatorio_CanalBrasil_Jan24.xlsx,CanalBrasil_Janeiro24,,,,,,Tv Fechada,,,Tv Fechada,,,,,,,0,0
Canal Brasil,Relatorio_CanalBrasil_Jan24.xlsx,CanalBrasil_Janeiro24,,,,,,Tv Fechada,,,Tv Fechada,,,,,,,0,0
Canal Brasil,Relatorio_CanalBrasil_Jan24.xlsx,CanalBrasil_Janeiro24,,,,,,Tv Fechada,,,Tv Fechada,,,,,,,0,0
Canal Brasil,Relatorio_CanalBrasil_Jan24.xlsx,CanalBrasil_Janeiro24,,,,,,Tv Fechada,,,Tv Fechada,,,,,,,0,0
Canal Brasil,Relatorio_CanalBrasil_Jan24.xlsx,CanalBrasil_Janeiro24,,,,,,Tv Fechada,,,Tv Fechada,,,,,,,0,0
Canal Brasil,Relatorio_CanalBrasil_Jan24.xlsx,CanalBrasil_Janeiro24,,,,,,Tv Fechada,,,Tv Fechada,,,,,,,0,0
Canal Brasil,Relatorio_CanalBrasil_Jan24.xlsx,CanalBrasil_Janeiro24,,,,,,Tv Fechada,,,Tv Fechada,,,,,,,0,0
Canal Brasil,Relatorio_CanalBrasil_Jan24.xlsx,CanalBrasil_Janeiro24,,,,,,Tv Fechada,,,Tv Fechada,,,,,,,0,0
Canal Brasil,Relatorio_CanalBrasil_Jan24.xlsx,CanalBrasil_Janeiro24,,,,,,Tv Fechada,,,Tv Fechada,,,,,,,0,0
Canal Brasil,Relatorio_CanalBrasil_Jan24.xlsx,CanalBrasil_Janeiro24,,,,,,Tv Fechada,,,Tv Fechada,,,,,,,0,0
Canal Brasil,Relatorio_CanalBrasil_Jan24.xlsx,CanalBrasil_Janeiro24,,,,,,Tv Fechada,,,Tv Fechada,,,,,,,0,0
Canal Brasil,Relatorio_CanalBrasil_Jan24.xlsx,CanalBrasil_Janeiro24,,,,,,Tv Fechada,,,Tv Fechada,,,,,,,0,0
Canal Brasil,Relatorio_CanalBrasil_Jan24.xlsx,CanalBrasil_Janeiro24,,,,,,Tv Fechada,,,Tv Fechada,,,,,,,0,0
Canal Brasil,Relatorio_CanalBrasil_Jan24.xlsx,CanalBrasil_Janeiro24,,,,,,Tv Fechada,,,Tv Fechada,,,,,,,0,0
Canal Brasil,Relatorio_CanalBrasil_Jan24.xlsx,CanalBrasil_Janeiro24,,,,,,Tv Fechada,,,Tv Fechada,,,,,,,0,0
Canal Brasil,Relatorio_CanalBrasil_Jan24.xlsx,CanalBrasil_Janeiro24,,,,,,Tv Fechada,,,Tv Fechada,,,,,,,0,0
Canal Brasil,Relatorio_CanalBrasil_Jan24.xlsx,CanalBrasil_Janeiro24,,,,,,Tv Fechada,,,Tv Fechada,,,,,,,0,0
Canal Brasil,Relatorio_CanalBrasil_Jan24.xlsx,CanalBrasil_Janeiro24,,,,,,Tv Fechada,,,Tv Fechada,,,,,,,0,0
Canal Brasil,Relatorio_CanalBrasil_Jan24.xlsx,CanalBrasil_Janeiro24,,,,,,Tv Fechada,,,Tv Fechada,,,,,,,0,0
Canal Brasil,Relatorio_CanalBrasil_Jan24.xlsx,CanalBrasil_Janeiro24,,,,,,Tv Fechada,,,Tv Fechada,,,,,,,0,0
Canal Brasil,Relatorio_CanalBrasil_Jan24.xlsx,CanalBrasil_Janeiro24,,,,,,Tv Fechada,,,Tv Fechada,,,,,,,0,0
Canal Brasil,Relatorio_CanalBrasil_Jan24.xlsx,CanalBrasil_Janeiro24,,,,,,Tv Fechada,,,Tv Fechada,,,,,,,0,0
Canal Brasil,Relatorio_CanalBrasil_Jan24.xlsx,CanalBrasil_Janeiro24,,,,,,Tv Fechada,,,Tv Fechada,,,,,,,0,0
Canal Brasil,Relatorio_CanalBrasil_Jan24.xlsx,CanalBrasil_Janeiro24,,,,,,Tv Fechada,,,Tv Fechada,,,,,,,0,0
Canal Brasil,Relatorio_CanalBrasil_Jan24.xlsx,CanalBrasil_Janeiro24,,,,,,Tv Fechada,,,Tv Fechada,,,,,,,0,0
Canal Brasil,Relatorio_CanalBrasil_Jan24.xlsx,CanalBrasil_Janeiro24,,,,,,Tv Fechada,,,Tv Fechada,,,,,,,0,0
Canal Brasil,Relatorio_CanalBrasil_Jan24.xlsx,CanalBrasil_Janeiro24,,,,,,Tv Fechada,,,Tv Fechada,,,,,,,0,0
Canal Brasil,Relatorio_CanalBrasil_Jan24.xlsx,CanalBrasil_Janeiro24,,,,,,Tv Fechada,,,Tv Fechada,,,,,,,0,0
Canal Brasil,Relatorio_CanalBrasil_Jan24.xlsx,CanalBrasil_Janeiro24,,,,,,Tv Fechada,,,Tv Fechada,,,,,,,0,0
Canal Brasil,Relatorio_CanalBrasil_Jan24.xlsx,CanalBrasil_Janeiro24,,,,,,Tv Fechada,,,Tv Fechada,,,,,,,0,0
Canal Brasil,Relatorio_CanalBrasil_Jan24.xlsx,CanalBrasil_Janeiro24,,,,,,Tv Fechada,,,Tv Fechada,,,,,,,0,0
Canal Brasil,Relatorio_CanalBrasil_Jan24.xlsx,CanalBrasil_Janeiro24,,,,,,Tv Fechada,,,Tv Fechada,,,,,,,0,0
Canal Brasil,Relatorio_CanalBrasil_Jan24.xlsx,CanalBrasil_Janeiro24,,,,,,Tv Fechada,,,Tv Fechada,,,,,,,0,0
Canal Brasil,Relatorio_CanalBrasil_Jan24.xlsx,CanalBrasil_Janeiro24,,,,,,Tv Fechada,,,Tv Fechada,,,,,,,0,0
Canal Brasil,Relatorio_CanalBrasil_Jan24.xlsx,CanalBrasil_Janeiro24,,,,,,Tv Fechada,,,Tv Fechada,,,,,,,0,0
Canal Brasil,Relatorio_CanalBrasil_Jan24.xlsx,CanalBrasil_Janeiro24,,,,,,Tv Fechada,,,Tv Fechada,,,,,,,0,0
Canal Brasil,Relatorio_CanalBrasil_Jan24.xlsx,CanalBrasil_Janeiro24,,,,,,Tv Fechada,,,Tv Fechada,,,,,,,0,0
Canal Brasil,Relatorio_CanalBrasil_Jan24.xlsx,CanalBrasil_Janeiro24,,,,,,Tv Fechada,,,Tv Fechada,,,,,,,0,0
Canal Brasil,Relatorio_CanalBrasil_Jan24.xlsx,CanalBrasil_Janeiro24,,,,,,Tv Fechada,,,Tv Fechada,,,,,,,0,0
Canal Brasil,Relatorio_CanalBrasil_Jan24.xlsx,CanalBrasil_Janeiro24,,,,,,Tv Fechada,,,Tv Fechada,,,,,,,0,0
Canal Brasil,Relatorio_CanalBrasil_Jan24.xlsx,CanalBrasil_Janeiro24,,,,,,Tv Fechada,,,Tv Fechada,,,,,,,0,0
Canal Brasil,Relatorio_CanalBrasil_Jan24.xlsx,CanalBrasil_Janeiro24,,,,,,Tv Fechada,,,Tv Fechada,,,,,,,0,0
Canal Brasil,Relatorio_CanalBrasil_Jan24.xlsx,CanalBrasil_Janeiro24,,,,,,Tv Fechada,,,Tv Fechada,,,,,,,0,0
Canal Brasil,Relatorio_CanalBrasil_Jan24.xlsx,CanalBrasil_Janeiro24,,,,,,Tv Fechada,,,Tv Fechada,,,,,,,0,0
Canal Brasil,Relatorio_CanalBrasil_Jan24.xlsx,CanalBrasil_Janeiro24,,,,,,Tv Fechada,,,Tv Fechada,,,,,,,0,0
Canal Brasil,Relatorio_CanalBrasil_Jan24.xlsx,CanalBrasil_Janeiro24,,,,,,Tv Fechada,,,Tv Fechada,,,,,,,0,0
Canal Brasil,Relatorio_CanalBrasil_Jan24.xlsx,CanalBrasil_Janeiro24,,,,,,Tv Fechada,,,Tv Fechada,,,,,,,0,0
Canal Brasil,Relatorio_CanalBrasil_Jan24.xlsx,CanalBrasil_Janeiro24,,,,,,Tv Fechada,,,Tv Fechada,,,,,,,0,0
Canal Brasil,Relatorio_CanalBrasil_Jan24.xlsx,CanalBrasil_Janeiro24,,,,,,Tv Fechada,,,Tv Fechada,,,,,,,0,0
Canal Brasil,Relatorio_CanalBrasil_Jan24.xlsx,CanalBrasil_Janeiro24,,,,,,Tv Fechada,,,Tv Fechada,,,,,,,0,0
Canal Brasil,Relatorio_CanalBrasil_Jan24.xlsx,CanalBrasil_Janeiro24,,,,,,Tv Fechada,,,Tv Fechada,,,,,,,0,0
Canal Brasil,Relatorio_CanalBrasil_Jan24.xlsx,CanalBrasil_Janeiro24,,,,,,Tv Fechada,,,Tv Fechada,,,,,,,0,0
Canal Brasil,Relatorio_CanalBrasil_Jan24.xlsx,CanalBrasil_Janeiro24,,,,,,Tv Fechada,,,Tv Fechada,,,,,,,0,0
Canal Brasil,Relatorio_CanalBrasil_Jan24.xlsx,CanalBrasil_Janeiro24,,,,,,Tv Fechada,,,Tv Fechada,,,,,,,0,0
Canal Brasil,Relatorio_CanalBrasil_Jan24.xlsx,CanalBrasil_Janeiro24,,,,,,Tv Fechada,,,Tv Fechada,,,,,,,0,0
Canal Brasil,Relatorio_CanalBrasil_Jan24.xlsx,CanalBrasil_Janeiro24,,,,,,Tv Fechada,,,Tv Fechada,,,,,,,0,0
Canal Brasil,Relatorio_CanalBrasil_Jan24.xlsx,CanalBrasil_Janeiro24,,,,,,Tv Fechada,,,Tv Fechada,,,,,,,0,0
Canal Brasil,Relatorio_CanalBrasil_Jan24.xlsx,CanalBrasil_Janeiro24,,,,,,Tv Fechada,,,Tv Fechada,,,,,,,0,0
Canal Brasil,Relatorio_CanalBrasil_Jan24.xlsx,CanalBrasil_Janeiro24,,,,,,Tv Fechada,,,Tv Fechada,,,,,,,0,0
Canal Brasil,Relatorio_CanalBrasil_Jan24.xlsx,CanalBrasil_Janeiro24,,,,,,Tv Fechada,,,Tv Fechada,,,,,,,0,0
